color_filter.brightness,-1,1
color_filter.contrast,-2,2
color_filter.gamma,-3,3
color_filter.hue_shift,-180,180
color_filter.opacity,0,100
color_filter.saturation,-1,5
sharpness_filter.sharpness,0,1
clut_filter.clut_amount,0,1
scroll_filter.speed_x,-500,500
scroll_filter.speed_y,-500,500
chroma_key_filter.brightness,-1,1
chroma_key_filter.contrast,-1,1
chroma_key_filter.gamma,-1,1
chroma_key_filter.opacity,0,100
chroma_key_filter.similarity,1,1000
chroma_key_filter.smoothness,1,1000
chroma_key_filter.splill,1,1000
color_key_filter.brightness,-1,1
color_key_filter.contrast,-1,1
color_key_filter.gamma,-1,1
color_key_filter.opacity,0,100
color_key_filter.similarity,1,1000
color_key_filter.smoothness,1,1000
luma_key_filter.luma_max,0,1
luma_key_filter.luma_max_smooth,0,1
luma_key_filter.luma_min,0,1
luma_key_filter.luma_min_smooth,0,1
mask_filter.opacity,0,100
